SDM

 ======== test get_l2 ========= 

2025-11-14 09:56:24,464; INFO; pypromice.pipeline.join_l2; SDM array loaded from L2_test/raw/SDM/SDM_hour.nc
2025-11-14 09:56:24,499; INFO; pypromice.pipeline.join_l2; SDM array loaded from L2_test/tx/SDM/SDM_hour.nc
2025-11-14 09:56:24,499; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/SDM/SDM_hour.nc with L2_test/tx/SDM/SDM_hour.nc...
2025-11-14 09:56:24,630; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:25,869; INFO; pypromice.io.write; Written to L2_test/level_2/SDM/SDM_hour.csv
2025-11-14 09:56:25,869; INFO; pypromice.io.write; Written to L2_test/level_2/SDM/SDM_hour.nc
2025-11-14 09:56:25,869; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/SDM...

 ======== test l2tol3 ========= 

2025-11-14 09:56:25,914; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:56:29,380; INFO; pypromice.pipeline.L2toL3; processing gps_lat with relocation on 2023-06-12T00:00:00
2025-11-14 09:56:29,388; INFO; pypromice.pipeline.L2toL3; processing gps_lon with relocation on 2023-06-12T00:00:00
2025-11-14 09:56:29,395; INFO; pypromice.pipeline.L2toL3; processing gps_alt with relocation on 2023-06-12T00:00:00
2025-11-14 09:56:29,424; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SDM.csv
2025-11-14 09:56:29,451; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:56:29,451; INFO; pypromice.pipeline.L2toL3; -> did not find z_ice_surf
2025-11-14 09:56:29,451; INFO; pypromice.pipeline.L2toL3; -> no z_pt or accumulation site: averaging z_surf_1 and z_surf_2
2025-11-14 09:56:29,523; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:56:29,593; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:56:36,422; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:56:36,605; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:38,538; INFO; pypromice.io.write; Written to L3_test/stations/SDM/SDM_hour.csv
2025-11-14 09:56:38,538; INFO; pypromice.io.write; Written to L3_test/stations/SDM/SDM_hour.nc
2025-11-14 09:56:38,676; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:56:38,781; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:38,905; INFO; pypromice.io.write; Written to L3_test/stations/SDM/SDM_day.csv
2025-11-14 09:56:38,905; INFO; pypromice.io.write; Written to L3_test/stations/SDM/SDM_day.nc
2025-11-14 09:56:39,035; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:56:39,146; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:39,216; INFO; pypromice.io.write; Written to L3_test/stations/SDM/SDM_month.csv
2025-11-14 09:56:39,216; INFO; pypromice.io.write; Written to L3_test/stations/SDM/SDM_month.nc
