QAS_L

 ======== test get_l2 ========= 

2025-11-14 09:53:58,656; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:59,057; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:59,362; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:59,615; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:59,979; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:54:00,377; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:54:00,959; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:54:01,208; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:54:01,536; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:54:01,725; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:54:01,882; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:54:02,087; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:54:02,444; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:54:02,843; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:54:03,317; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:54:03,790; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:54:08,530; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:54:08,565; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/QAS_L.csv
2025-11-14 09:54:08,594; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/QAS_L.csv
2025-11-14 09:54:08,745; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/QAS_L.csv
2025-11-14 09:54:08,788; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:54:08,788; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:54:08,788; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:54:15,433; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:54:16,092; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:54:33,050; INFO; pypromice.io.write; Written to L2_test/raw/QAS_L/QAS_L_10min.csv
2025-11-14 09:54:33,050; INFO; pypromice.io.write; Written to L2_test/raw/QAS_L/QAS_L_10min.nc
2025-11-14 09:54:34,635; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:54:34,786; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:54:38,345; INFO; pypromice.io.write; Written to L2_test/raw/QAS_L/QAS_L_hour.csv
2025-11-14 09:54:38,345; INFO; pypromice.io.write; Written to L2_test/raw/QAS_L/QAS_L_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:54:38,484; INFO; pypromice.pipeline.join_l2; QAS_L array loaded from L2_test/raw/QAS_L/QAS_L_hour.nc
2025-11-14 09:54:38,510; INFO; pypromice.pipeline.join_l2; QAS_L array loaded from L2_test/tx/QAS_L/QAS_L_hour.nc
2025-11-14 09:54:38,510; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/QAS_L/QAS_L_hour.nc with L2_test/tx/QAS_L/QAS_L_hour.nc...
2025-11-14 09:54:38,669; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:54:42,180; INFO; pypromice.io.write; Written to L2_test/level_2/QAS_L/QAS_L_hour.csv
2025-11-14 09:54:42,180; INFO; pypromice.io.write; Written to L2_test/level_2/QAS_L/QAS_L_hour.nc
2025-11-14 09:54:42,180; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/QAS_L...

 ======== test l2tol3 ========= 

2025-11-14 09:54:42,222; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:54:45,254; INFO; pypromice.pipeline.L2toL3; processing gps_lat with relocation on 2009-08-31T00:00:00, 2011-01-15T23:00:00
2025-11-14 09:54:45,266; INFO; pypromice.pipeline.L2toL3; processing gps_lon with relocation on 2009-08-31T00:00:00, 2011-01-15T23:00:00
2025-11-14 09:54:45,275; INFO; pypromice.pipeline.L2toL3; processing gps_alt with relocation on 2009-08-31T00:00:00, 2011-01-15T23:00:00
2025-11-14 09:54:45,304; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/QAS_L.csv
2025-11-14 09:54:45,351; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:54:45,351; INFO; pypromice.pipeline.L2toL3; -> ablation site
/home/bav/pypromice/src/pypromice/pipeline/L2toL3.py:636: RuntimeWarning: Mean of empty slice
  if ~np.isnan(np.nanmean(hs2.iloc[(ind_end[i]-24*7):(ind_end[i]+24*30)])):
2025-11-14 09:54:46,143; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:54:46,222; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:54:46,383; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:54:54,709; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:54:54,870; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:54:58,720; INFO; pypromice.io.write; Written to L3_test/stations/QAS_L/QAS_L_hour.csv
2025-11-14 09:54:58,720; INFO; pypromice.io.write; Written to L3_test/stations/QAS_L/QAS_L_hour.nc
2025-11-14 09:54:58,905; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:54:58,982; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:54:59,190; INFO; pypromice.io.write; Written to L3_test/stations/QAS_L/QAS_L_day.csv
2025-11-14 09:54:59,190; INFO; pypromice.io.write; Written to L3_test/stations/QAS_L/QAS_L_day.nc
2025-11-14 09:54:59,383; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:54:59,456; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:54:59,511; INFO; pypromice.io.write; Written to L3_test/stations/QAS_L/QAS_L_month.csv
2025-11-14 09:54:59,511; INFO; pypromice.io.write; Written to L3_test/stations/QAS_L/QAS_L_month.nc
