NUK_L

 ======== test get_l2 ========= 

2025-11-14 09:51:32,539; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:32,878; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:33,263; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:33,617; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:34,164; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:34,613; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:35,017; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:35,363; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:35,736; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:36,112; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:36,278; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:36,452; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:37,052; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:42,241; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:51:42,271; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NUK_L.csv
2025-11-14 09:51:42,301; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/NUK_L.csv
2025-11-14 09:51:42,597; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NUK_L.csv
2025-11-14 09:51:42,642; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:51:42,642; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:51:47,918; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:51:48,587; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:04,836; INFO; pypromice.io.write; Written to L2_test/raw/NUK_L/NUK_L_10min.csv
2025-11-14 09:52:04,836; INFO; pypromice.io.write; Written to L2_test/raw/NUK_L/NUK_L_10min.nc
2025-11-14 09:52:06,628; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:52:06,790; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:10,949; INFO; pypromice.io.write; Written to L2_test/raw/NUK_L/NUK_L_hour.csv
2025-11-14 09:52:10,950; INFO; pypromice.io.write; Written to L2_test/raw/NUK_L/NUK_L_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:52:11,133; INFO; pypromice.pipeline.join_l2; NUK_L array loaded from L2_test/raw/NUK_L/NUK_L_hour.nc
2025-11-14 09:52:11,177; INFO; pypromice.pipeline.join_l2; NUK_L array loaded from L2_test/tx/NUK_L/NUK_L_hour.nc
2025-11-14 09:52:11,178; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/NUK_L/NUK_L_hour.nc with L2_test/tx/NUK_L/NUK_L_hour.nc...
2025-11-14 09:52:11,483; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:15,581; INFO; pypromice.io.write; Written to L2_test/level_2/NUK_L/NUK_L_hour.csv
2025-11-14 09:52:15,581; INFO; pypromice.io.write; Written to L2_test/level_2/NUK_L/NUK_L_hour.nc
2025-11-14 09:52:15,581; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/NUK_L...

 ======== test l2tol3 ========= 

2025-11-14 09:52:15,630; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:52:18,605; INFO; pypromice.pipeline.L2toL3; processing gps_lat with relocation on 2008-04-09T02:00:00, 2009-04-10T02:00:00, 2010-06-10T02:00:00, 2014-07-27T00:00:00, 2018-07-30T13:00:00
2025-11-14 09:52:18,620; INFO; pypromice.pipeline.L2toL3; processing gps_lon with relocation on 2008-04-09T02:00:00, 2009-04-10T02:00:00, 2010-06-10T02:00:00, 2014-07-27T00:00:00, 2018-07-30T13:00:00
2025-11-14 09:52:18,632; INFO; pypromice.pipeline.L2toL3; processing gps_alt with relocation on 2008-04-09T02:00:00, 2009-04-10T02:00:00, 2010-06-10T02:00:00, 2014-07-27T00:00:00, 2018-07-30T13:00:00
2025-11-14 09:52:18,666; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NUK_L.csv
2025-11-14 09:52:18,711; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:52:18,711; INFO; pypromice.pipeline.L2toL3; -> ablation site
/home/bav/pypromice/src/pypromice/pipeline/L2toL3.py:636: RuntimeWarning: Mean of empty slice
  if ~np.isnan(np.nanmean(hs2.iloc[(ind_end[i]-24*7):(ind_end[i]+24*30)])):
/home/bav/pypromice/src/pypromice/pipeline/L2toL3.py:636: RuntimeWarning: Mean of empty slice
  if ~np.isnan(np.nanmean(hs2.iloc[(ind_end[i]-24*7):(ind_end[i]+24*30)])):
2025-11-14 09:52:19,564; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:52:19,651; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:52:19,851; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:52:28,036; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:52:28,211; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:32,221; INFO; pypromice.io.write; Written to L3_test/stations/NUK_L/NUK_L_hour.csv
2025-11-14 09:52:32,221; INFO; pypromice.io.write; Written to L3_test/stations/NUK_L/NUK_L_hour.nc
2025-11-14 09:52:32,425; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:52:32,509; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:32,727; INFO; pypromice.io.write; Written to L3_test/stations/NUK_L/NUK_L_day.csv
2025-11-14 09:52:32,727; INFO; pypromice.io.write; Written to L3_test/stations/NUK_L/NUK_L_day.nc
2025-11-14 09:52:32,930; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:52:33,008; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:33,067; INFO; pypromice.io.write; Written to L3_test/stations/NUK_L/NUK_L_month.csv
2025-11-14 09:52:33,068; INFO; pypromice.io.write; Written to L3_test/stations/NUK_L/NUK_L_month.nc
